Lemma_ID,Lemma,POS,Lemma_Type,Lemma_InflClass,Lemma_Degree,Lemma_Person,Lemma_Gender,Lemma_Voice,Lemma_Tense,Lemma_Aspect,Lemma_Animacy,Lemma_Abbr,Lemma_NumForm,Lemma_VerbForm,Lemma_Personal,Lemma_Origin,Lemma_Poss,Lemma_Reflex,Lemma_SubCat,Variant,Form_ID,Form,Form_Accent,Form_Gender,Form_Person,Form_Cas,Form_Number,Form_Degree,Form_Tense,Form_Mood,Form_VerbForm,Form_Animacy,Form_Short
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510476,едкаватага,6,Masc,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510479,едкаватага,6,Masc,,,Sing,,,,,True,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510483,едкаватага,6,Neut,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510482,едкаватае,6,Neut,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510485,едкаватае,6,Neut,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510490,едкаватае,6,Fem,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510489,едкаватай,6,Fem,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510491,едкаватай,6,Fem,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510493,едкаватай,6,Fem,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510495,едкаватай,6,Fem,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510477,едкаватаму,6,Masc,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510484,едкаватаму,6,Neut,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510494,едкаватаю,6,Fem,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510488,едкаватая,6,Fem,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510492,едкаватую,6,Fem,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510475,едкаваты,6,Masc,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510478,едкаваты,6,Masc,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510480,едкаватым,6,Masc,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510481,едкаватым,6,Masc,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510486,едкаватым,6,Neut,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510487,едкаватым,6,Neut,,,Sing,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510498,едкаватым,6,,,,Plur,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510501,едкаватымі,6,,,,Plur,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510497,едкаватых,6,,,,Plur,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510500,едкаватых,6,,,,Plur,,,,,True,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510502,едкаватых,6,,,,Plur,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510496,едкаватыя,6,,,,Plur,,,,,,
19258,едкаваты,ADJ,,,Pos,,,,,,,,,,,,,,,1,510499,едкаватыя,6,,,,Plur,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510504,едкага,1,Masc,,,Sing,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510507,едкага,1,Masc,,,Sing,,,,,True,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510511,едкага,1,Neut,,,Sing,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510510,едкае,1,Neut,,,Sing,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510513,едкае,1,Neut,,,Sing,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510518,едкае,1,Fem,,,Sing,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510517,едкай,1,Fem,,,Sing,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510519,едкай,1,Fem,,,Sing,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510521,едкай,1,Fem,,,Sing,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510523,едкай,1,Fem,,,Sing,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510505,едкаму,1,Masc,,,Sing,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510512,едкаму,1,Neut,,,Sing,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510522,едкаю,1,Fem,,,Sing,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510516,едкая,1,Fem,,,Sing,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510520,едкую,1,Fem,,,Sing,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510503,едкі,1,Masc,,,Sing,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510506,едкі,1,Masc,,,Sing,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510508,едкім,1,Masc,,,Sing,,,,,,
19259,едкі,ADJ,,,Pos,,,,,,,,,,,,,,,1,510509,едкім,1,Masc,,,Sing,,,,,,
